TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W24;CH011;Y35T39;F;P;1
2020-W24;CH011;Y45T49;T;P;1
2020-W24;CH011;Y45T49;M;P;1
2020-W24;CH011;Y50T54;T;P;2
2020-W24;CH011;Y50T54;F;P;1
2020-W24;CH011;Y50T54;M;P;1
2020-W24;CH011;Y55T59;T;P;5
2020-W24;CH011;Y55T59;F;P;2
2020-W24;CH011;Y55T59;M;P;3
2020-W24;CH011;Y60T64;T;P;1
2020-W24;CH011;Y60T64;F;P;1
2020-W24;CH011;Y65T69;T;P;5
2020-W24;CH011;Y65T69;F;P;3
2020-W24;CH011;Y65T69;M;P;2
2020-W24;CH011;Y70T74;T;P;8
2020-W24;CH011;Y70T74;F;P;3
2020-W24;CH011;Y70T74;M;P;5
2020-W24;CH011;Y75T79;T;P;15
2020-W24;CH011;Y75T79;F;P;11
2020-W24;CH011;Y75T79;M;P;4
2020-W24;CH011;Y80T84;T;P;15
2020-W24;CH011;Y80T84;F;P;8
2020-W24;CH011;Y80T84;M;P;7
2020-W24;CH011;Y85T89;T;P;16
2020-W24;CH011;Y85T89;F;P;7
2020-W24;CH011;Y85T89;M;P;9
2020-W24;CH011;Y_GE90;T;P;25
2020-W24;CH011;Y_GE90;F;P;20
2020-W24;CH011;Y_GE90;M;P;5
2020-W24;CH012;_T;T;P;54
2020-W24;CH012;_T;F;P;27
2020-W24;CH012;_T;M;P;27
2020-W24;CH012;Y20T24;T;P;1
2020-W24;CH012;Y20T24;M;P;1
2020-W24;CH012;Y45T49;T;P;1
2020-W24;CH012;Y45T49;F;P;1
2020-W24;CH012;Y50T54;T;P;2
2020-W24;CH012;Y50T54;M;P;2
2020-W24;CH012;Y55T59;T;P;4
2020-W24;CH012;Y55T59;M;P;4
2020-W24;CH012;Y60T64;T;P;2
2020-W24;CH012;Y60T64;F;P;1
2020-W24;CH012;Y60T64;M;P;1
2020-W24;CH012;Y65T69;T;P;4
2020-W24;CH012;Y65T69;F;P;1
2020-W24;CH012;Y65T69;M;P;3
2020-W24;CH012;Y70T74;T;P;6
2020-W24;CH012;Y70T74;F;P;4
2020-W24;CH012;Y70T74;M;P;2
2020-W24;CH012;Y75T79;T;P;11
2020-W24;CH012;Y75T79;F;P;7
2020-W24;CH012;Y75T79;M;P;4
2020-W24;CH012;Y80T84;T;P;4
2020-W24;CH012;Y80T84;F;P;2
2020-W24;CH012;Y80T84;M;P;2
2020-W24;CH012;Y85T89;T;P;7
2020-W24;CH012;Y85T89;F;P;3
2020-W24;CH012;Y85T89;M;P;4
2020-W24;CH012;Y_GE90;T;P;12
2020-W24;CH012;Y_GE90;F;P;8
2020-W24;CH012;Y_GE90;M;P;4
2020-W24;CH013;_T;T;P;50
2020-W24;CH013;_T;F;P;21
2020-W24;CH013;_T;M;P;29
2020-W24;CH013;Y35T39;T;P;1
2020-W24;CH013;Y35T39;F;P;1
2020-W24;CH013;Y40T44;T;P;1
2020-W24;CH013;Y40T44;M;P;1
2020-W24;CH013;Y45T49;T;P;1
2020-W24;CH013;Y45T49;F;P;1
2020-W24;CH013;Y50T54;T;P;2
2020-W24;CH013;Y50T54;F;P;1
2020-W24;CH013;Y50T54;M;P;1
2020-W24;CH013;Y55T59;T;P;2
2020-W24;CH013;Y55T59;M;P;2
2020-W24;CH013;Y65T69;T;P;3
2020-W24;CH013;Y65T69;F;P;1
2020-W24;CH013;Y65T69;M;P;2
2020-W24;CH013;Y70T74;T;P;5
2020-W24;CH013;Y70T74;F;P;1
2020-W24;CH013;Y70T74;M;P;4
2020-W24;CH013;Y75T79;T;P;7
